month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
201910,hawaii,hi,680050.0,-0.0058,-0.0037,5944,-0.0037,0.0275,79.0,0.0128,-0.0539,1652,-0.0096,-0.0024,32,-0.3846,-0.5789,1180,-0.0422,0.0034,7574,0.0146,0.1352,510.8603164005996,-0.0061,0.0329,1315.0,0.0054,-0.0324,1307579.0,0.0257,0.0473
201910,washington,wa,465025.0,-0.0086,0.0586,19912,0.0073,-0.1184,50.5,0.0306,0.0632,8108,-0.1624,-0.0902,436,0.1354,0.0686,6408,-0.111,-0.2829,49939,0.009,1.4472,227.55468749999997,0.0038,0.0684,2033.5,-0.01,0.0015,644956.0,-0.0057,0.0597
201910,tennessee,tn,289550.0,-0.0014,0.0726,27416,-0.0219,-0.14,57.0,0.0,-0.0806,10192,-0.0545,-0.0113,560,-0.0345,-0.0789,7720,-0.0417,-0.1267,53138,-0.2606,0.199,127.0968466874292,0.0051,0.06,2023.0,-0.0066,0.0311,395549.0,-0.0176,0.0897
201910,nevada,nv,339950.0,-3.0E-4,0.0,12515,-0.0292,0.0974,54.0,0.0189,0.2414,4780,-0.0213,-0.0025,280,0.129,-0.0411,4964,-0.0935,-0.0417,18194,0.0561,-0.429,180.5108286252354,-0.0029,0.0121,1880.5,-0.0027,-0.0154,598050.0,0.0025,-0.0038
201910,montana,mt,362450.0,0.0012,0.0659,7105,-0.041,-0.1905,94.0,0.0805,-0.0829,1244,-0.2046,-0.1526,24,-0.4,-0.4,1152,-0.2672,-0.191,6102,-0.0134,-0.3738,171.92926720905012,0.0095,0.077,2172.5,-0.003,0.0032,611255.0,0.0113,0.0538
201910,delaware,de,325050.0,0.0,0.0837,4357,0.0028,-0.1874,85.0,-0.071,-0.0503,1356,0.1414,-0.0342,124,0.069,-0.2439,1092,-0.0036,-0.1702,2723,0.0405,2.2378,150.57168222402598,-0.0038,0.0612,1988.0,3.0E-4,0.0463,424214.99999999994,0.0054,0.0749
201910,maryland,md,345000.0,-0.009,0.047,20950,-0.0142,-0.1196,56.0,-0.0261,-0.0667,7804,-0.0862,-0.0643,396,-0.0833,-0.1466,7296,-0.0141,-0.1339,6423,0.0375,-0.7393,166.44241075957837,-5.0E-4,-0.0039,1923.5,-0.0075,0.0598,455001.0,0.0043,0.0498
201910,idaho,id,359995.0,-0.0224,0.0911,8503,-0.0234,-0.0925,60.0,0.0435,-0.0698,3040,-0.0512,0.06,140,-0.2857,-0.2553,2604,-0.1155,-0.0895,5316,0.06,0.3801,171.26628821450726,-0.0012,0.0764,2183.5,-0.0102,0.0135,561885.0,-0.0084,0.0689
201910,florida,fl,330682.0,0.0021,0.0173,138762,0.0059,-0.0591,78.5,-0.0542,-0.0063,41340,0.0366,-0.0079,3188,-0.016,-0.0743,37904,0.0151,-0.0915,80395,-0.0514,0.0713,181.50781249999997,0.0038,0.0332,1757.5,-0.0011,0.0,640761.0,0.0078,0.0329
201910,south carolina,sc,278046.0,-0.0052,0.03,29253,-0.0019,-0.0459,79.0,-0.0063,-0.0595,8072,-0.0539,0.012,708,-0.038,-0.1611,8328,-0.0562,0.042,44177,-0.1013,0.1113,109.18241279069767,0.0089,-0.0817,1566.5,0.01,-0.1268,422081.00000000006,-0.0116,0.0391
201910,massachusetts,ma,522500.0,0.0049,0.0728,20420,-0.0046,-0.067,57.5,-0.0574,0.0455,7784,-0.2296,-0.0698,172,-0.1731,-0.0851,7020,-0.0415,-0.1359,16987,0.042,0.4066,265.8977122015915,0.0035,0.0702,1924.5,0.0,0.0084,818069.0,0.0073,0.1003
201910,south dakota,sd,239950.0,0.0,0.0307,4160,-0.0507,0.0489,59.0,0.0826,0.0085,1164,-0.0703,0.0283,32,0.1429,0.3333,788,-0.1205,0.0707,2165,0.1596,0.3431,121.1371640578854,-0.0032,0.0186,1972.0,-5.0E-4,0.0041,303993.0,6.0E-4,0.0471
