City,Population Rank,January 2017
West and East Lealman,3268,1157
Druid Hills,3269,3031
Centerville,3270,1542
Albert Lea,3271,1055
Mc Farland,3272,1129
Milwaukie,3273,1760
Superior Township,3274,1494
Sanger,3275,1511
Bangor Township,3276,920
Country Club Hills,3277,1479
Buckley,3278,1690
Lebanon,3279,1454
Westchester,3280,1706
Wilsonville,3281,2288
Robinson,3282,1458
Maxton,3283,766
Wayland,3284,2935
Waupun,3285,894
Town of Exeter,3286,1820
Gates,3287,1296
Harvard,3288,1356
Seymour,3289,1693
Beekman,3290,1953
Rio Linda,3291,1444
Winton,3292,1037
Espanola,3293,1235
Durant,3294,867
Washington Township,3295,1228
Lewes,3296,1438
Grover Beach,3297,2032
Town of Hampton,3298,1847
Moorestown-Lenola,3299,2178
Shelby,3300,786
North Augusta,3301,1128
Louisville,3302,1118
Amelia,3303,1310
Verona,3304,2170
Town of Mukwonago,3305,1839
Wauseon,3306,1092
Claremont,3307,1153
Dowagiac,3308,942
Lockhart,3309,1197
Raceland,3310,1146
Fruita,3311,1229
Holden,3312,1794
Colonial Park,3313,1170
Manhasset,3314,6551
Locust Grove,3315,1437
Loudon,3316,1158
Altoona,3317,1457
Bexley,3318,2019
La Grange,3319,927
Castaic,3320,2657
Grafton,3321,1171
Vienna Township,3322,979
Lithia Springs,3323,1051
Decatur,3324,1337
Aberdeen,3325,1210
Spearfish,3326,1333
Humble,3327,1387
Pembroke,3328,816
Girard,3329,788
Middlefield,3330,1219
Middle Valley,3331,1230
Troy,3332,1060
Malibu,3333,9199
East Longmeadow,3334,1754
Spring Township,3335,1481
Exton,3336,2174
Stanford,3337,7471
Coatesville,3338,1201
Clinton,3339,940
Millbury,3340,1666
Pinewood,3341,1691
Meadville,3342,977
Half Moon Bay,3343,3998
Stroud Township,3344,1350
Black Forest,3345,2320
Boonville,3346,1015
Grand Bay,3347,962
Bishop,3348,1821
Hughson,3349,1492
Lower Moreland Township,3350,2349
Larchmont,3351,5985
Rockport,3352,1502
Vidalia,3353,997
Miami Springs,3354,2298
Bedford,3355,996
Town of Dryden,3356,1420
Kingston,3357,969
Berlin Township,3358,1625
New Kensington,3359,750
Cahokia,3360,723
Skippack Township,3361,2195
Independence,3362,696
Andover,3363,1429
Hanahan,3364,1493
Live Oak,3365,1256
Hyde Park,3366,1705
Bay Minette,3367,1089
Harper Woods,3368,890
Hopewell Township,3369,1000
Canby,3370,1814
Middlesex,3371,2039
Hartwell,3372,1095
Lake City,3373,875
Glendale,3374,1044
Prospect,3375,2381
Clemmons,3376,1293
North Bend,3377,1262
Ridgefield Park,3378,2254
Monroe,3379,1151
Northampton,3380,1855
Cinco Ranch,3381,2389
Town of Massena,3382,1124
Dexter,3383,1849
Montgomeryville,3384,2192
Bryn Mawr-Skyway,3385,2058
Richland Township,3386,1494
Cromwell,3387,1541
Endicott,3388,1095
Rock Falls,3389,1022
Oakland,3390,2520
Sandy,3391,1729
Prospect Heights,3392,1643
Millbrook,3393,892
Weehawken,3394,2444
Ardmore,3395,1908
Forsyth,3396,1126
Warrenville,3397,1645
Tuttle,3398,1265
Beckley,3399,743
Rochester,3400,2114
Southeast,3401,2329
Forest Acres,3402,1211
Saint James,3403,2888
Woodhaven,3404,1190
Chester Springs,3405,2597
Helena,3406,1300
Wickliffe,3407,1085
Seagoville,3408,1264
Spring Creek,3409,1372
Adairsville,3410,966
Hanover,3411,2387
Sandston,3412,1244
Medway,3413,2440
Boonton Township,3414,2796
Welby,3415,1608
Sylva,3416,1106
Bay Village,3417,1872
Cortez,3418,1233
Oxford,3419,2019
Rockmart,3420,931
Atchison,3421,798
Somers,3422,1483
Two Rivers,3423,797
Shorewood,3424,1276
New Albany,3425,1121
Hazard,3426,844
Markham,3427,1294
Swampscott,3428,2422
Hubert,3429,866
Crest Hill,3430,1466
Arab,3431,941
Warrensville Heights,3432,934
White Oak,3433,1096
New Cassel,3434,2790
Sparta,3435,1067
Plumstead Township,3436,2114
Westwood,3437,3018
Caledonia Township,3438,1507
Griffin,3439,911
Morehead City,3440,1147
Holliston,3441,2448
Town of East Greenbush,3442,1375
Olympia Heights,3443,2323
Holly Hill,3444,1081
Bolivar,3445,825
North Bend,3446,2226
Dickinson,3447,1494
Swatara Township,3448,1229
Lyndhurst,3449,1218
Southwest Ranches,3450,3466
Springfield,3451,1050
Marshfield,3452,762
New Palestine,3453,1517
Bellefontaine Neighbors,3454,802
Edwardsville,3455,1324
Wagoner,3456,936
Lumberton,3457,2097
Mt Morris Township,3458,660
Orinda,3459,5341
Spring Hill,3460,1586
Escanaba,3461,849
North East,3462,1388
Chino Valley,3463,1408
South Daytona,3464,1196
Lincolnwood,3465,2189
New Castle,3466,673
Panama City Beach,3467,1457
Lincoln,3468,1705
Whitehouse,3469,1258
Riverview,3470,1133
Kenton,3471,925
North Providence,3472,1535
Dover,3473,1407
Carrollton,3474,949
Hillsdale,3475,915
New Franklin,3476,1180
Belleview,3477,904
Louisa,3478,1279
Blythewood,3479,1466
Creedmoor,3480,1202
Timmonsville,3481,972
Marinette,3482,830
McAlester,3483,808
Town of Delavan,3484,1237
Lancaster,3485,921
Kountze,3486,1265
Westwood Lake,3487,2183
Cedar Grove,3488,2280
Greenwood,3489,955
Clemson,3490,1180
Salisbury,3491,2913
Mill Plain,3492,1804
Palmyra,3493,1349
Palos Heights,3494,1863
Wynnewood,3495,2690
Weatherford,3496,1146
Montgomery Township,3497,2384
Falls Township,3498,2063
Chesnee,3499,1135
Gainesville,3500,1142
Harrison,3501,1303
Heath,3502,1092
Upper Chichester,3503,1640
Red Bank,3504,2239
El Campo,3505,1276
Hockessin,3506,2341
Justice,3507,1585
Newtown Township,3508,2290
Mount Vernon,3509,967
Sayreville,3510,2115
Smithfield,3511,1606
Lakeland North,3512,1932
Somerville,3513,2031
Mounds View,3514,1461
Escalon,3515,1609
North Chicago,3516,1238
Natchitoches,3517,1205
Glen Carbon,3518,1348
Short Hills,3519,6883
Fort Hunt,3520,2936
Benson,3521,1072
Loomis,3522,2164
Ridley Township,3523,1442
Lake Worth Corridor,3524,1503
Saddle Brook,3525,2251
Lower Southampton Township,3526,1868
Key Biscayne,3527,4068
Red Bank,3528,1127
Saint Ann,3529,849
Thonotosassa,3530,1349
Luling,3531,1438
Woodland Park,3532,1849
Katy,3533,1630
Saint Clair,3534,1208
Fort Thomas,3535,1339
Green River,3536,1383
Haverstraw,3537,1994
Norton,3538,1108
North Valley,3539,1233
Scotts Valley,3540,3334
Oak Grove,3541,1819
Chelsea,3542,1673
Alpine,3543,2605
Livingston,3544,1182
Sweetwater,3545,957
Lone Tree,3546,2892
Dayton,3547,1261
Ringwood,3548,1993
Brunswick,3549,1349
Plainfield,3550,1299
Glenpool,3551,1075
Carrboro,3552,1441
Erwin,3553,850
Brown Deer,3554,933
Destin,3555,1848
South Elgin,3556,1632
Simsbury,3557,2030
Greenwood Village,3558,4691
Belmont,3559,1435
Bridgetown,3560,1103
Beachwood,3561,2271
Albion,3562,768
Bonham,3563,1163
Toppenish,3564,905
Clawson,3565,1396
Pennsville Township,3566,1257
Snyder,3567,995
Northlake,3568,1533
Hasbrouck Heights,3569,2261
Molalla,3570,1645
Arlington,3571,1639
Sikeston,3572,759
Yeadon,3573,1205
Fulton,3574,1122
Blacklick,3575,1717
Pella,3576,1188
Vandalia,3577,1099
Madisonville,3578,1062
Hayden,3579,1345
Carmel,3580,3982
Canal Fulton,3581,1158
Fort Walton Beach,3582,1153
Lake Station,3583,850
Willow Spring,3584,1304
Harrison,3585,798
North Strabane Township,3586,1644
College Park,3587,1140
Vernon,3588,1000
Cedar Lake,3589,1320
Dingman Township,3590,1346
Kendallville,3591,988
Goffstown,3592,1701
Grandview,3593,1021
Dover Township,3594,1226
Roxbury Township,3595,2253
Destrehan,3596,1443
Lynnfield,3597,2816
Fullerton,3598,1342
Woodbury,3599,2188
Eatontown,3600,2217
Camp Verde,3601,1264
Brownsville,3602,1623
Oxford,3603,827
Paola,3604,1232
Milton Freewater,3605,1152
Town of Verona,3606,1677
Alachua,3607,1322
Globe,3608,1082
Delhi,3609,1179
Robstown,3610,1104
Conneaut,3611,838
Craig,3612,1250
Hudson,3613,1623
Lower Burrell,3614,943
Town of Spencer,3615,1521
Seven Hills,3616,1435
Keithville,3617,1002
Bloomfield,3618,1017
Hockley,3619,1499
Damascus,3620,2029
South Amboy,3621,2038
Jericho,3622,3946
Grants,3623,962
Rayne,3624,1173
Sunland Park,3625,892
Delta Township,3626,1126
Lyons,3627,923
Lamont,3628,913
Fort Gratiot,3629,1157
Edgewater,3630,2537
Glen Rock,3631,2931
Milford,3632,1246
Saint Clairsville,3633,1151
Rehoboth,3634,2056
Osceola,3635,1335
Brownfield,3636,939
Towamencin Township,3637,2008
East Bethel,3638,1540
Wilton Manors,3639,1883
Luray,3640,1201
Orosi,3641,1074
Town of Athol,3642,1295
Whitefish,3643,1492
Vadnais Heights,3644,1607
Pedley,3645,1889
Chaparral,3646,832
Eagle Point,3647,1456
Lewisboro,3648,3683
Hazel Dell North,3649,1647
Town of Bath,3650,1244
Pooler,3651,1358
Kingsland,3652,1052
Town of Kingston,3653,2036
Rex,3654,909
Bellmawr,3655,1502
Town of Milton,3656,1803
Middletown,3657,1557
Lafayette,3658,946
Town of Pepperell,3659,2282
Somersworth,3660,1565
Winnetka,3661,6229
Silver Spring Township,3662,1591
Webster,3663,1317
Delta,3664,1187
California City,3665,978
Paradise Valley,3666,8223
Malta,3667,1977
Miami Shores,3668,2554
Brandywine,3669,1986
Walnut Grove,3670,1635
Canyon Lake,3671,2015
Calimesa,3672,1668
Lebanon,3673,1107
West Columbia,3674,979
East Pennsboro,3675,1441
Grosse Pointe Park,3676,2011
Town of Kaukauna,3677,1063
Grand Terrace,3678,1748
Lakeland Highlands,3679,1433
Malvern,3680,2198
Upper Dublin,3681,2225
La Grange Park,3682,1992
Munhall,3683,858
Garden Acres,3684,1062
Schodack,3685,1366
Windsor Locks,3686,1492
Freeland,3687,993
Western Springs,3688,2775
Marion,3689,1002
North Saint Paul,3690,1416
Readington,3691,2428
Weston,3692,5217
Gloucester City,3693,1373
Lebanon,3694,1106
Firebaugh,3695,1170
Lakeland,3696,1725
Berkeley Heights,3697,2792
Coventry,3698,1571
Cheboygan,3699,907
Summit,3700,1487
Superior,3701,2455
Altus,3702,716
Weigelstown,3703,1227
River Edge,3704,2468
Jefferson City,3705,1001
North Myrtle Beach,3706,1197
Montevallo,3707,1068
New Hanover,3708,1891
Union City,3709,1031
Tarrytown,3710,3003
Kettering,3711,1949
Lake Grove,3712,2893
Chesterland,3713,1715
Middleton,3714,1717
Highland Park,3715,750
Woodmere,3716,3591
Wilmington Island,3717,1563
Town of Hanover,3718,2468
Knik-Fairview,3719,1603
Channahon,3720,1655
Moreau,3721,1619
Rockton,3722,1221
Guttenberg,3723,2217
Hampstead,3724,1690
Killen,3725,847
Poplarville,3726,1057
Cloquet,3727,1234
Moraga,3728,4585
Berkley,3729,1679
Sulphur Springs,3730,1283
Sartell,3731,1358
Westview,3732,1713
Mamakating,3733,1384
Poquoson,3734,1666
Silverton,3735,1594
Pittston Township,3736,860
Dripping Springs,3737,2072
Speedway,3738,1067
Brazoria,3739,1507
Angier,3740,1101
Upper Moreland Township,3741,1780
Piedmont,3742,6665
New Carrollton,3743,1938
Washington Township,3744,1595
Richton Park,3745,1481
Newman,3746,1333
Town of Canton,3747,1315
Manistee,3748,932
Derby,3749,1474
Temple,3750,992
Westminster,3751,923
Independence,3752,1375
Richland Township,3753,1632
Crestwood,3754,1350
Hanover Township,3755,779
Cadiz,3756,928
New Providence,3757,2862
Irvington,3758,917
Boyds,3759,2723
Solana Beach,3760,4312
Fairview Heights,3761,989
Wrentham,3762,2431
Seabrook,3763,1784
Watkinsville,3764,1502
Indian Trail,3765,1441
North Canton,3766,1133
Woodland Park,3767,1556
Peyton,3768,1571
Oak Hills,3769,2043
Bluff City,3770,899
Brooklyn,3771,1037
Ogdensburg,3772,1087
Jefferson Hills,3773,1327
Junction City,3774,1317
West Perrine,3775,1747
Cambridge,3776,1336
Colville,3777,1179
Robertsdale,3778,1150
Town of Duxbury,3779,2719
Elwood,3780,675
Jollyville,3781,1687
Knoxville,3782,1015
Ishpeming,3783,825
Monmouth,3784,934
Pompton Lakes,3785,1880
Town of Chester,3786,1947
Quincy,3787,1079
Johnstown,3788,1463
Orrville,3789,1099
Somers,3790,3001
Pocono Township,3791,1262
Auburn,3792,1196
Hamilton Township,3793,1200
Haysville,3794,918
Galena,3795,2456
Sumner,3796,1633
North Branch,3797,1374
Loyalsock,3798,1128
Sandwich,3799,1362
Guntersville,3800,1043
Middletown Township,3801,2064
Patton Township,3802,1547
Sierra Madre,3803,3132
Port Neches,3804,1390
Country Walk,3805,2210
Little Egg Harbor,3806,1626
Charlestown,3807,1123
River Forest,3808,2759
Bridgeton,3809,1160
Carnot-Moon,3810,1368
Harrison,3811,3912
Garnet Valley,3812,2461
Hastings,3813,1458
Freeport,3814,1366
Rosaryville,3815,2034
Westwood,3816,2547
Davidson,3817,1658
View Park-Windsor Hills,3818,3114
San Marino,3819,8425
Price,3820,907
Mount Kisco,3821,3157
Monument,3822,2233
Elizabeth,3823,2504
Hanover Township,3824,1816
South Beloit,3825,1123
Beebe,3826,908
Conshohocken,3827,1789
Buffalo,3828,1346
Chesterton,3829,1496
South Haven Township,3830,1144
Wood Dale,3831,1762
Knox,3832,932
White House,3833,1355
Gray,3834,1049
Pass Christian,3835,1172
Beachwood,3836,1690
Amite,3837,1121
Town of Oregon,3838,1568
Brooklyn Park,3839,1525
Lighthouse Point,3840,2357
Nesconset,3841,2834
Nevada City,3842,1898
Muskegon Heights,3843,659
Worthington,3844,1932
Franklin,3845,1165
Frostproof,3846,898
Littlerock,3847,1573
Hillsborough,3848,11796
Mt Pleasant,3849,4386
Andrews,3850,1288
Merriam,3851,1308
Burkburnett,3852,855
Ridgefield,3853,2351
Lower Saucon Township,3854,1580
North Fayette Township,3855,1384
Reading,3856,1143
Big Bear City,3857,1176
Fort Stockton,3858,1089
Gatesville,3859,896
Franklinton,3860,1103
Jackson,3861,966
Springdale,3862,1181
Keaau,3863,1420
Largo,3864,1803
Lincoln Park,3865,2305
Bradford Township,3866,964
Granville,3867,1826
Avocado Heights,3868,2318
Dandridge,3869,1123
West Carrollton,3870,854
O Fallon,3871,1379
Dixon,3872,1007
Rapho Township,3873,1225
Chestertown,3874,1456
West Caldwell,3875,2500
Hazel Green,3876,943
Bay Saint Louis,3877,990
Paw Paw,3878,1096
Greensboro,3879,1634
Town of Kennebunk,3880,1666
Clinton,3881,1617
Little Ferry,3882,2217
Reedsburg,3883,1125
Anthony,3884,895
Monitor Township,3885,1036
Black Mountain,3886,1346
Saratoga Springs,3887,1552
Waverly,3888,1143
Forest Hill,3889,1208
Soddy-Daisy,3890,1130
Macedonia,3891,1552
Elkview,3892,882
Bedford Heights,3893,1109
Mendham Township,3894,3681
Camano Island,3895,1592
Roselle Park,3896,1890
Waterford,3897,1591
Moore,3898,1289
North Palm Beach,3899,1988
Advance,3900,1304
Mecca,3901,1254
Monroe,3902,1418
Jefferson,3903,1201
Blountville,3904,940
Ellisville,3905,1614
Brownsville,3906,821
Haddonfield,3907,3451
East Wenatchee,3908,1533
Holbrook,3909,2240
La Feria,3910,837
Franklin Lakes,3911,4596
Calera,3912,1136
Highlands,3913,1350
Saint Peter,3914,1252
West Haven,3915,1476
Ridgeland,3916,1197
Cotati,3917,2474
Emmaus,3918,1345
Gulfport,3919,1290
East Hanover,3920,2841
Haslett,3921,1460
Hershey,3922,1461
Lake Butler,3923,1144
Gladeview,3924,1604
Wyomissing,3925,1630
Central,3926,1032
Navasota,3927,1302
Salem,3928,1506
Parma,3929,1428
Jacksonville,3930,1088
Camdenton,3931,971
Milan,3932,831
Long Valley,3933,2650
Warren,3934,1842
Town of Lunenburg,3935,1764
Lehman Township,3936,1172
Thurmont,3937,1518
Miles City,3938,955
South Park,3939,1303
Rogers,3940,1769
Barre,3941,1431
Church Point,3942,1118
Shrewsbury Township,3943,1470
Warwick Township,3944,1201
Lehigh Township,3945,1440
Pagosa Springs,3946,1503
Romeo,3947,1542
Monticello,3948,1112
Alma,3949,805
Collinsville,3950,1114
New Haven,3951,1180
Barrington Hills,3952,4592
North Mankato,3953,1282
Kearney,3954,1414
Aston,3955,1688
Wilmer,3956,985
Anna,3957,1541
Laurel,3958,1167
Bound Brook,3959,1973
Lakeside,3960,1190
Woolwich Township,3961,2387
Ruther Glen,3962,1267
Farmington,3963,1490
Roslyn Heights,3964,4086
Milton,3965,1681
Payson,3966,1310
Norwell,3967,2720
Nanticoke,3968,762
Haughton,3969,1356
Lansdowne,3970,1262
Duvall,3971,2422
Scituate,3972,1776
Shavertown,3973,1334
Upper Providence,3974,2465
Greenwell Springs,3975,1400
Marshall,3976,1156
River Ridge,3977,1567
Manville,3978,1985
Gulf Shores,3979,1393
Hondo,3980,1233
Struthers,3981,700
Acushnet,3982,1471
Catlettsburg,3983,954
Fowlerville,3984,1416
North Versailles,3985,853
Saraland,3986,945
Deer Park,3987,1302
Havre,3988,1049
Finneytown,3989,1125
Wytheville,3990,1049
West Lake Stevens,3991,1844
Little Falls,3992,1157
Canyon Rim,3993,1625
Coarsegold,3994,1315
Trenton,3995,1148
Windsor,3996,1905
Warr Acres,3997,946
Russellville,3998,866
Sharpsburg,3999,1513
Jordan,4000,1672
Berwick,4001,1031
Waterford,4002,1547
Fountain Inn,4003,1192
Harrison Township,4004,949
Rising Sun,4005,1467
Macclenny,4006,1210
Englewood,4007,1079
Center Township,4008,1098
Carriere,4009,1166
Fruitland Park,4010,1199
China Grove,4011,954
Moberly,4012,797
Reidsville,4013,791
Corning,4014,1037
Whitmore Lake,4015,1557
Shepherd,4016,1181
Columbia,4017,945
Hertford,4018,1077
Avenal,4019,1022
Town of Sandwich,4020,1939
Walton,4021,1361
Pittsboro,4022,1706
Somers,4023,1811
Hull,4024,2206
Town of Red Hook,4025,1965
Signal Hill,4026,2295
Atoka,4027,1345
Watervliet,4028,1121
North East Township,4029,1121
Waynesboro,4030,1003
Oakdale,4031,949
Morgan,4032,1962
Weston,4033,4278
Tyngsboro,4034,2330
Purcellville,4035,2324
Wheelersburg,4036,1027
Linthicum Heights,4037,1872
Town and Country,4038,4121
Bluefield,4039,763
Town of Cottage Grove,4040,1583
Sweetwater,4041,1004
Colts Neck,4042,3521
Madison,4043,1276
Falmouth,4044,2424
Hillsdale,4045,2792
Roosevelt,4046,2699
Lacombe,4047,1305
Dudley,4048,1573
Beech Grove,4049,959
Seminole,4050,756
Cooper Township,4051,1260
Fairmount,4052,1358
Hopatcong,4053,1718
Cushing,4054,1022
Ontario,4055,1595
Kinnelon,4056,2746
Cornelia,4057,1051
Sienna Plantation,4058,2416
Madison,4059,955
Woodbury,4060,1429
South Middleton,4061,1328
Marion,4062,829
North Smithfield,4063,1679
Powell,4064,1132
Lantana,4065,1554
Parker,4066,1193
Middletown,4067,1826
Rostraver Township,4068,983
Sweetwater,4069,1838
Lugoff,4070,1057
Liberty,4071,995
Town of Norwich,4072,1169
Keansburg,4073,1781
Schiller Park,4074,1554
Marysville,4075,1126
Crestwood,4076,1389
Uniontown,4077,850
Plains,4078,892
North Codorus Township,4079,1298
Pearsall,4080,1134
Goldenrod,4081,1406
Carthage,4082,656
North Lebanon,4083,1077
Beecher,4084,518
Clinton,4085,1550
West Richland,4086,1602
Succasunna,4087,2405
Federal Heights,4088,1747
Mims,4089,1284
Rossville,4090,1602
Farmington,4091,1592
Lander,4092,1140
Attalla,4093,788
Cuero,4094,1225
Worcester,4095,2450
Worth,4096,1477
Alexandria,4097,738
Laurel,4098,1127
Lagrange,4099,1009
Farmington,4100,1647
Hastings Township,4101,1006
Clarksburg,4102,2194
Rifle,4103,1344
Rockwood,4104,857
Flat Rock,4105,1098
Mashpee,4106,1867
Connellsville Township,4107,864
Town of East Hampton,4108,1616
Timberwood Park,4109,2116
Little Falls,4110,2059
La Riviera,4111,1508
Shippensburg Township,4112,1042
Ellenton,4113,1636
New Market,4114,1951
Erie,4115,2289
Woodbury,4116,1774
Town of Medfield,4117,2946
Highland Springs,4118,993
Creswell,4119,1278
Town of Pewaukee,4120,1977
Northampton,4121,1253
Bluffdale,4122,2171
Little Canada,4123,1556
Saint Pete Beach,4124,2108
Milford Township,4125,1647
Ortonville,4126,1598
Gallipolis,4127,974
Pulaski,4128,943
Hazle Township,4129,1054
Frenchtown Township,4130,1070
Berlin,4131,1020
South Boston,4132,977
Greenville,4133,861
Belding,4134,991
Hillside,4135,1461
Kenai,4136,1351
Wallington,4137,2122
Clay,4138,1438
North Salt Lake,4139,1540
Glocester,4140,1615
Harvest,4141,1155
Chillicothe,4142,1074
Traverse City,4143,1392
Greenfield,4144,1146
Lock Haven,4145,898
Sandy Hook,4146,2175
East Greenwich Township,4147,2117
Gardendale,4148,1126
Lyons,4149,1436
Manhattan,4150,1598
Town of Burlington,4151,1254
Hummelstown,4152,1474
Marlton,4153,1904
Grain Valley,4154,1259
Randleman,4155,970
Middleville,4156,1287
Shiloh,4157,1299
Valley Springs,4158,1553
Saint Louis,4159,823
Tiburon,4160,7551
Apollo Beach,4161,1496
Shamokin Township,4162,887
Clarendon Hills,4163,2413
Fallston,4164,2054
River Vale,4165,3127
Downingtown,4166,1645
Edenton,4167,1053
Waldwick,4168,2455
Pawleys Island,4169,1595
Clinton,4170,807
Canyon Lake,4171,1394
Flat Rock,4172,1398
Moody,4173,1198
Rushville,4174,885
North Fair Oaks,4175,3369
King,4176,1049
Stanley,4177,1203
Florham Park,4178,3190
Hackettstown,4179,1820
Westgate-Belvedere Homes,4180,1438
Imperial,4181,1288
Riverton-Boulevard Park,4182,1890
Plymouth Township,4183,2028
Williston,4184,1146
Benton,4185,956
Panthersville,4186,994
Browns Mills,4187,1493
Beverly Hills,4188,2370
Arden Hills,4189,1823
Stuart,4190,1533
East Grand Rapids,4191,2125
Weddington,4192,2549
Guyton,4193,1236
Sunbury,4194,933
Bemidji,4195,1165
Purvis,4196,1158
Orting,4197,1643
Sinton,4198,1087
Saint Joseph,4199,1281
Northbrook,4200,870
Jeannette,4201,750
Kentwood,4202,1107
Mt Holly Township,4203,1593
Town of Pleasant Valley,4204,1894
Richmond Heights,4205,1283
Brentwood,4206,959
Lebanon,4207,1554
Putnam,4208,1320
Keystone Heights,4209,1129
Cocoa Beach,4210,1629
Edgewood,4211,1283
Hailey,4212,1330
Poplar Grove,4213,1338
Horizon City,4214,1000
Middlebury,4215,1319
Pelham,4216,2187
Sunset Hills,4217,2070
Southwick,4218,1636
Harrison,4219,1232
Emeryville,4220,2657
Sleepy Hollow,4221,3174
Penn Forest Township,4222,1206
White City,4223,1171
Belpre,4224,1026
Franklin,4225,1114
Burnet,4226,1341
Rathdrum,4227,1265
Chippewa Falls,4228,1110
Warren,4229,906
Bishopville,4230,912
South Strabane Township,4231,1503
Tell City,4232,833
La Grande,4233,1221
Sharonville,4234,1265
Perry Hall,4235,1822
South Charleston,4236,907
Tillamook,4237,1449
Mogadore,4238,1112
Walworth,4239,1565
Shady Hills,4240,1294
Centreville,4241,1921
Grosse Pointe Farms,4242,2006
Scotchtown,4243,1786
North College Hill,4244,903
Walnut Cove,4245,1011
Alton,4246,904
Rye Brook,4247,4549
Sorrento,4248,1404
Bloomingdale,4249,1194
Town of Sheboygan Falls,4250,1154
Town of Ipswich,4251,2356
Butler Township,4252,1286
Comstock Park,4253,1231
Prospect,4254,1786
Blair,4255,1277
Clarion Township,4256,1032
Felton,4257,1257
Falling Waters,4258,1248
La Grange,4259,1479
Town of Springfield,4260,1260
Aurora,4261,708
Soldotna,4262,1381
Brewer,4263,1303
Bellevue,4264,954
West Deer Township,4265,1372
Carver,4266,1926
Jefferson,4267,1363
Swanton,4268,1191
Harahan,4269,1449
East Rockaway,4270,2833
Cottonwood,4271,1198
Crookston,4272,1109
Sweet Home,4273,1073
Moore Township,4274,1485
Bladensburg,4275,1728
Cloverdale,4276,2442
Freetown,4277,1726
Lakeport,4278,1394
Jennings,4279,1012
Wantage Township,4280,1853
Adelphi,4281,2009
Estacada,4282,1738
Honey Brook Township,4283,1669
Kuna,4284,1193
Ecorse,4285,753
Vine Grove,4286,1000
Smiths Creek,4287,1142
Sausalito,4288,4634
Lincoln Village,4289,950
North Aurora,4290,1705
East Grand Forks,4291,1277
Lamar,4292,995
Muscoy,4293,1349
Woodlake,4294,1083
West Manchester Township,4295,1185
Aldie,4296,2355
Nappanee,4297,1118
Stoughton,4298,1370
Rensselaer,4299,1182
Bernalillo,4300,1229
Progress,4301,1144
Kilgore,4302,1123
Heber Springs,4303,1028
Lititz,4304,1135
Barboursville,4305,1012
Devils Lake,4306,1033
Smithville,4307,1433
Marion,4308,1079
Shasta Lake,4309,1103
Broomall,4310,1995
Totowa,4311,2139
Hopkins,4312,1045
Washington Township,4313,2730
Flossmoor,4314,1783
Wilkesboro,4315,1109
Florida City,4316,1483
Mound,4317,1555
Walkersville,4318,1741
Grosse Ile,4319,1679
Oakwood,4320,1841
Shepherdsville,4321,974
Waterloo,4322,1363
King City,4323,1698
Clayton,4324,3250
Leonia,4325,2577
Westport,4326,1865
Ennis,4327,1139
Amity Township,4328,1872
Town of Macedon,4329,1516
Semmes,4330,1095
Berthoud,4331,1830
Hedgesville,4332,1188
Bristol,4333,1320
Vienna,4334,995
Doctor Phillips,4335,1803
Perkiomen,4336,1895
Aliquippa,4337,757
Pecos,4338,961
Town of Herkimer,4339,1169
Saucier,4340,1140
Town of Seneca Falls,4341,1296
Croydon,4342,1445
Bremen,4343,1121
Laurinburg,4344,838
Davenport,4345,1301
Endwell,4346,1166
Cottondale,4347,1120
Pickens,4348,1017
Pineville,4349,1270
Woodside,4350,8751
Stayton,4351,1458
Rawlins,4352,987
Carl Junction,4353,861
Sutton,4354,1936
Madison Heights,4355,1094
Torrington,4356,925
Franklin Park,4357,2503
Denton,4358,1469
Sunbury,4359,1724
Ladue,4360,4709
Orange Cove,4361,1010
Wills Point,4362,1204
McCook,4363,978
Troy,4364,1326
Jacinto City,4365,1147
Crowley,4366,1358
Whitinsville,4367,1584
Evans,4368,1213
Middleton,4369,2489
Madisonville,4370,1800
Litchfield Park,4371,1445
Hitchcock,4372,1270
Ripon,4373,1897
Elizabethtown,4374,1086
Burlington,4375,2005
Clarksville,4376,824
Saint Robert,4377,899
Leeds,4378,1021
Inverness,4379,3182
Pitman,4380,1668
Hamilton Township,4381,1358
Lonoke,4382,928
Woodbridge,4383,2452
Melvindale,4384,801
Reserve,4385,1059
West Haverstraw,4386,1994
Mechanicsburg,4387,1223
Harleysville,4388,1827
Blackstone,4389,1578
Chatham,4390,3468
Riverside,4391,2275
Edwardsburg,4392,1034
Penn Township,4393,1187
Canonsburg,4394,1015
Wood River,4395,799
Wellington,4396,727
Prince Frederick,4397,1792
Cadillac,4398,806
Brandenburg,4399,981
Streetsboro,4400,1210
Hewitt,4401,1411
Henderson,4402,1189
Elkin,4403,959
Jessup,4404,2114
Goulds,4405,1719
Melbourne Beach,4406,2059
Stevensville,4407,1844
Maywood,4408,2312
Hamlin,4409,1310
Springettsbury Township,4410,1270
Fairview,4411,1646
Town of Plattekill,4412,1635
Safety Harbor,4413,1674
Hobe Sound,4414,1771
Hermantown,4415,1465
Midland,4416,1428
Zionsville,4417,2229
Town of Topsham,4418,1469
Dobbs Ferry,4419,3728
Joshua Tree,4420,884
Harwood Heights,4421,1765
Payette,4422,905
Beaufort,4423,1119
Collingdale,4424,1192
Geneseo,4425,1340
Lambertville,4426,1137
Rocky Point,4427,1129
Huntington,4428,1808
Audubon,4429,1581
Sellersville,4430,1619
Cape Canaveral,4431,1421
Hanover,4432,2190
